cluster_id,keywords,num_articles,title_1,url_1,score_1,title_2,url_2,score_2,title_3,url_3,score_3
5,"loan, fraud, ppp, business, attorney, special, agent, special agent, federal, office",155,Brockton Man Charged with Fraudulently Obtaining Over $1.5 Million in COVID-Relief Funds,https://www.fdicoig.gov/news/investigations-press-releases/brockton-man-charged-fraudulently-obtaining-over-15-million,0.947,Seven Charged in Connection with a COVID-Relief Fraud Scheme Involving more than 80 Fraudulent Loan Applications Worth Approximately $16 Million,https://www.fdicoig.gov/news/investigations-press-releases/seven-charged-connection-covid-relief-fraud-scheme-involving,0.943,Four Charged in $35 Million COVID-19 Relief Fraud Scheme,https://www.fdicoig.gov/news/investigations-press-releases/four-charged-35-million-covid-19-relief-fraud-scheme,0.943
4,"chicago, bank, federal, kowalski, inspector, office, general, inspector general, special, attorney",9,Two Real Estate Developers Convicted of Conspiring to Embezzle Millions From the Failed Washington Federal Bank in Chicago,https://www.fdicoig.gov/news/investigations-press-releases/two-real-estate-developers-convicted-conspiring-embezzle,0.97,Real Estate Developer Sentenced to Nearly 13 Years in Prison for Embezzling Millions From the Failed Washington Federal Bank in Chicago,https://www.fdicoig.gov/news/investigations-press-releases/real-estate-developer-sentenced-nearly-13-years-prison,0.963,Real Estate Developer Sentenced to More Than Six Years in Prison for Embezzling Millions From the Failed Washington Federal Bank in Chicago,https://www.fdicoig.gov/news/investigations-press-releases/real-estate-developer-sentenced-more-six-years-prison-embezzling,0.948
2,"solar, investor, carpoff, fraud, scheme, msg, federal, year, company, sentenced",11,Second DC Solar Defendant Sentenced to 3 Years in Prison for Billion Dollar Ponzi Scheme,https://www.fdicoig.gov/news/investigations-press-releases/second-dc-solar-defendant-sentenced-3-years-prison-billion,0.968,DC Solar CFO Sentenced to 6 Years in Prison for Billion Dollar Ponzi Scheme,https://www.fdicoig.gov/news/investigations-press-releases/dc-solar-cfo-sentenced-6-years-prison-billion-dollar-ponzi,0.967,DC Solar Owner Sentenced to Over 11 Years in Prison for Billion Dollar Ponzi Scheme,https://www.fdicoig.gov/news/investigations-press-releases/dc-solar-owner-sentenced-over-11-years-prison-billion-dollar,0.965
1,"fraud, money, dudding, victim, state, united, united state, reporting, emeni, account",11,Nigerian National Pleads Guilty to Role in Fraud and Money Laundering Scheme,https://www.fdicoig.gov/news/investigations-press-releases/nigerian-national-pleads-guilty-role-fraud-and-money-laundering,0.946,Nigerian National Pleads Guilty to Role in Romance Fraud Scheme,https://www.fdicoig.gov/news/investigations-press-releases/nigerian-national-pleads-guilty-role-romance-fraud-scheme,0.939,Nigerian National Pleads Guilty to Role in Fraud and Money Laundering Scheme,https://www.fdicoig.gov/news/investigations-press-releases/nigerian-national-pleads-guilty-role-fraud-and-money-0,0.93
3,"bank, loan, ryan, gibbs, burnell, nbc, nbc bank, federal, treme, office",13,Three First NBC Executives Indicted For Fraud against Failed $5 Billion Bank,https://www.fdicoig.gov/news/investigations-press-releases/three-first-nbc-executives-indicted-fraud-against-failed-5,0.949,Grand Jury Returns Superseding Indictment Charging First NBC Bank Executives And A Borrower With Bank Fraud And False Statements,https://www.fdicoig.gov/news/investigations-press-releases/grand-jury-returns-superseding-indictment-charging-first-nbc,0.945,Developer Admits To Working with Bank Executives to Defraud First NBC Bank Out Of Over $123 Million,https://www.fdicoig.gov/news/investigations-press-releases/developer-admits-working-bank-executives-defraud-first-nbc-bank,0.939
0,"bank, account, check, vaduva, bank account, institution, fraud, maryland, coconspirator, seck",9,Foreign National Involved in Religious Institution Check Theft Conspiracy Sentenced to Over Three Years in Federal Prison,https://www.fdicoig.gov/news/investigations-press-releases/foreign-national-involved-religious-institution-check-theft,0.959,Romanian National Sentenced to Five Years in Federal Prison for Bank Fraud and Wire Fraud Conspiracy Related to a Scheme to Steal Checks Intended for Religious Institutions from the Mail,https://www.fdicoig.gov/news/investigations-press-releases/romanian-national-sentenced-five-years-federal-prison-bank-fraud,0.956,Foreign National Pleads Guilty to Conspiracy to Commit Bank Fraud and Wire Fraud in Relation to Multiple Religious Institutions,https://www.fdicoig.gov/news/investigations-press-releases/foreign-national-pleads-guilty-conspiracy-commit-bank-fraud-and,0.95
