url,cluster,relevance_score
https://www.fdic.gov/federal-register-publications/first-national-bank-central-texas-sada-theut-rin-3064-za49.pdf,0,0.9230452
https://www.fdic.gov/federal-register-publications/southern-michigan-bank-and-trust-scott-mcqueen-rin-3064-za49.pdf,0,0.8858623
https://www.fdic.gov/federal-register-publications/bank-five-nine-timothy-j-schneider-and-jeff-langkamp-rin-3064-za49,2,0.87045574
https://www.fdic.gov/federal-register-publications/first-century-bank-tina-cline-rin-3064-za49.pdf,0,0.86030304
https://www.fdic.gov/federal-register-publications/peoples-bank-dennis-ammann-rin-3064-za49.pdf,0,0.9231592
https://www.fdic.gov/federal-register-publications/american-national-bank-fox-cities-stephanie-preza-rin-3064-za49.pdf,0,0.9239218
https://www.fdic.gov/federal-register-publications/citizens-national-bank-texas-mark-singleton-rin-3064-za49.pdf,0,0.8625512
https://www.fdic.gov/federal-register-publications/spratt-savings-bank-jim-bennett-rin-3064-za49.pdf,0,0.9281696
https://www.fdic.gov/federal-register-publications/high-plains-bank-jenna-scheeler-rin-3064-za49.pdf,2,0.86465096
https://www.fdic.gov/federal-register-publications/1st-national-bank-scotia-kelly-gibbons-rin-3064-za49.pdf,0,0.8474175
https://www.fdic.gov/federal-register-publications/first-service-credit-union-gevon-calix-rin-3064-za49.pdf,0,0.87594056
https://www.fdic.gov/federal-register-publications/fnbc-marty-sellars-rin-3064-za49.pdf,0,0.9207708
https://www.fdic.gov/federal-register-publications/cube3ai-einaras-von-gravrock-rin-3064-za49.pdf,0,0.8566836
https://www.fdic.gov/federal-register-publications/plumas-bank-amber-marshall-rin-3064-za49.pdf,0,0.8483051
https://www.fdic.gov/federal-register-publications/first-state-bank-haynes-standard-jr-rin-3064-za49.pdf,0,0.87469137
https://www.fdic.gov/federal-register-publications/state-bank-douglas-e-parrott-rin-3064-za49.pdf,0,0.74671906
https://fdic.gov/federal-register-publications/pioneer-bank-christopher-g-palmer-rin-3064-za49.pdf,0,0.83946
https://fdic.gov/federal-register-publications/security-bank-uysa-tiffany-baer-paine-rin-3064-za49.pdf,0,0.7356447
https://fdic.gov/federal-register-publications/citizens-alliance-bank-angie-kasella-rin-3064-za49.pdf,0,0.84025264
https://fdic.gov/federal-register-publications/bank-salem-dawnesea-roper-rin-3064-za49.pdf,0,0.93255305
https://fdic.gov/federal-register-publications/security-bank-kansas-city-david-k-mulvany-rin-3064-za49.pdf,0,0.8715944
https://www.fdic.gov/federal-register-publications/bna-bank-mike-staten-rin-3064-za49.pdf,0,0.8679576
https://fdic.gov/federal-register-publications/williamstown-bank-sharon-k-anderson-rin-3064-za49.pdf,0,0.89852166
https://fdic.gov/federal-register-publications/conway-bank-emily-herndon-rin-3064-za49.pdf,0,0.90786433
https://fdic.gov/federal-register-publications/prairie-community-bank-spring-ettner-rin-3064-za49.pdf,0,0.8829986
https://www.fdic.gov/federal-register-publications/flora-bank-trust-dan-d-graham-rin-3064-za49.pdf,0,0.89823115
https://www.fdic.gov/resources/supervision-and-examinations/consumer-compliance-examination-manual/documents/7/vii-1-1.pdf,1,0.6938321
https://www.fdic.gov/federal-register-publications/community-first-bank-indiana-justin-van-zuiden-rin-3064-za49.pdf,0,0.77497923
https://www.fdic.gov/federal-register-publications/glenwood-bank-denise-daley-rix-rin-3064-za49.pdf,0,0.8622148
https://www.fdic.gov/federal-register-publications/exchange-bank-alabama-tara-montgomery-rin-3064-za49.pdf,0,0.7729244
https://www.fdic.gov/federal-register-publications/first-interstate-bank-cheyenne-wyoming-matthew-pope-rin-3064-za49.pdf,0,0.8773129
https://www.fdic.gov/federal-register-publications/first-national-bank-eagle-lake-courtney-watz-rin-3064-za49.pdf,0,0.93890774
https://www.fdic.gov/federal-register-publications/penncrest-bank-wendy-nagle-rin-3064-za49.pdf,2,0.75259304
https://www.fdic.gov/federal-register-publications/cleveland-state-bank-daniel-f-whalen-rin-3064-za49.pdf,0,0.7445693
https://www.fdic.gov/federal-register-publications/vinton-county-bank-tom-oyer-rin-3064-za49.pdf,0,0.8633131
https://www.fdic.gov/federal-register-publications/sardineai-corp-ravi-loganathan-rin-3064-za49.pdf,0,0.8471167
